rank,company-content,company href,growth,industry,state,city,rank (2),company-content (2),growth (2),industry (2),state (2),city (2),rank (3),company-content (3),growth (3),industry (3),state (3),city (3),rank (4),company-content (4),growth (4),industry (4),state (4),city (4),rank (5),company-content (5),growth (5),industry (5),state (5),city (5),rank (6),company-content (6),growth (6),industry (6),state (6),city (6),rank (7),company-content (7),company href (2),growth (7),industry (7),state (7),city (7),rank (8),company-content (8),growth (8),state (8),city (8),rank (9),company-content (9),growth (9),industry (8),state (9),city (9),rank (10),company-content (10),growth (10),industry (9),state (10),city (10),industry (10)
1,Litle & Co.,https://inc.com/magazine/20060901/hidi-litle.html,"5,629%",Financial Services,Massachusetts,Lowell,2,Airborne Health,"4,673%",Consumer Products,Florida,Bonita Springs,3,Digital Lifestyle Outfitters,"4,385%",Consumer Products,South Carolina,Charleston,4,Edible Arrangements,"4,383%",Retail,Georgia,Atlanta,5,SunRx,"3,877%",Health Services,New Jersey,Cherry Hill,6,United Bank Card,"3,845%",Financial Services,Pennsylvania,Allentown,7,Method Products,https://inc.com/tim-crino/heres-why-method-products-eric-ryan-used-to-take-a-shift-at-reception-desk.html,"3,390%",Consumer Products,California,San Francisco,8,StubHub,"3,248%",California,San Francisco,9,Ancillary Care Management,"2,942%",Health Services,Minnesota,Eden Prairie,10,MemberHealth,"2,858%",Health Services,Ohio,Solon,
11,Evolve Manufacturing Technologies,,"2,845%",Financial Services,Illinois,Chicago,12,Advanced Equities Financial,"2,786%",Logistics & Transportation,Nevada,North Las Vegas,13,Silver State Helicopters,"2,631%",Retail,Nebraska,Omaha,14,NetShops,"2,322%",Telecommunications,Arizona,Scottsdale,15,PatchLink,"2,306%",Manufacturing,South Carolina,Greenville,16,Global Performance,"2,272%",Logistics & Transportation,North Carolina,Cary,17,Visionary Solutions,,"2,272%",,Pennsylvania,Chalfont,18,Bandwidth.com,"2,240%",Alaska,Anchorage,19,Mercer Staffing,"2,121%",,California,Mountain View,20,Immediate-Care,"2,116%",,Tennessee,Oak Ridge,
21,The Macaluso Group,,"2,088%",Health Services,New Jersey,Fairfield,22,OpenPages,"2,033%",Advertising & Marketing,Massachusetts,Waltham,23,Booyah Networks,"2,017%",IT Services,Colorado,Westminster,24,LanceSoft,"1,982%",Consumer Products,Virginia,Herndon,25,Video Gaming Technologies,"1,957%",Human Resources,Tennessee,Brentwood,26,WageWorks,"1,802%",Financial Services,California,San Mateo,27,C&B Services,,"1,792%",Government Services,Texas,Port Neches,28,Resurgence Financial,"1,774%",Illinois,Northbrook,29,ITSolutions,"1,737%",Real Estate,Maryland,Silver Spring,30,Clear Capital,"1,721%",,California,Truckee,
31,Advanced Planning Services,,"1,692%",Financial Services,California,San Diego,32,Valley Healthcare Systems,"1,619%",Business Products & Services,California,Gold River,33,Sirius Solutions,"1,613%",Government Services,Texas,Houston,34,Insitu,"1,506%",Retail,Washington,Bingen,35,One Way Furniture,"1,495%",Real Estate,New York,Farmingdale,36,TIC Properties,"1,471%",Software,South Carolina,Greenville,37,Veristor Systems,,"1,466%",Construction,Georgia,Duluth,38,Wendel Companies,"1,452%",New York,Williamsville,39,DataSynapse,"1,416%",IT Services,New York,New York City,40,Merlin Technical Solutions,"1,413%",,Colorado,Greenwood Village,
41,Speck,,"1,310%",Consumer Products,California,Mountain View,42,Kurtzman Carson Consultants,"1,307%",Financial Services,California,El Segundo,43,NightHawk Radiology Services,"1,273%",Real Estate,Idaho,Coeur d'Alene,44,Bell-Corley Construction,"1,267%",Security,Arkansas,Little Rock,45,Group9,"1,217%",IT Services,Pennsylvania,Langhorne,46,Everything Furniture,"1,204%",IT Services,California,Corona,47,ARES International Security,,"1,198%",,Virginia,Alexandria,48,Study Island,"1,192%",Texas,Dallas,49,The Experts,"1,186%",,Florida,Fort Lauderdale,50,Attic Technologies,"1,180%",,New Jersey,Edison,
51,Mainthia Technologies,https://inc.com/jeff-haden/the-mental-journey-from-start-up-to-ipo.html,"1,174%",Government Services,Ohio,Cleveland,52,Visicu,"1,170%",Real Estate,Maryland,Baltimore,53,RealtyTrac,"1,158%",Retail,California,Irvine,55,The Merrick Group,"1,139%",Software,Texas,Stafford,56,Providus,"1,139%",Human Resources,Indiana,Indianapolis,57,Mont Blanc Gourmet,"1,131%",Food & Beverage,Texas,Houston,58,ExactTarget,,"1,129%",Energy,Colorado,Denver,60,ConsumerPowerline,"1,102%",New York,New York City,61,Platinum Solutions,"1,086%",Government Services,Virginia,Reston,62,Intelligent Software Solutions,"1,077%",Software,Colorado,Colorado Springs,
63,Vibrant Media,,"1,071%",Media,New York,New York City,64,Master Key Consulting,"1,069%",Business Products & Services,Maryland,Bethesda,65,ThePlatform,"1,058%",Business Products & Services,Washington,Seattle,66,Logoworks,"1,053%",Media,Utah,Lindon,67,Omniture,"1,052%",Health Services,Utah,Orem,68,Techlink Northwest,"1,052%",,Washington,Bellevue,69,Bayside Solutions,,"1,050%",,California,Pleasanton,70,Burt and Associates,"1,029%",Texas,Richardson,71,Limelight Networks,"1,025%",,Arizona,Tempe,72,Spheris,"1,020%",,Tennessee,Franklin,
73,Axiom Law,,"1,014%",Business Products & Services,New York,New York City,74,Solebury International,"1,007%",Food & Beverage,Pennsylvania,Line Lexington,75,Odesus,"1,002%",Financial Services,California,Los Angeles,76,CMS Forex,983%,Advertising & Marketing,New York,New York City,77,Big Communications,962%,Food & Beverage,Michigan,Ferndale,78,Stirrings,959%,Retail,Massachusetts,Fall River,79,Zappos,,948%,Business Products & Services,Nevada,Henderson,80,MostChoice.com,947%,Georgia,Atlanta,81,Equity Consultants,945%,Real Estate,Ohio,Richfield,82,Five Point Capital,945%,Business Products & Services,California,San Diego,
83,SchoolDude.com,,936%,Education,North Carolina,Cary,84,iLight Technologies,930%,Advertising & Marketing,Illinois,Chicago,85,nFusion,922%,Retail,Texas,Austin,86,Coast to Coast Tickets,915%,IT Services,Texas,Austin,87,Flatirons Solutions,913%,Human Resources,California,Irvine,88,Beacon Hill Staffing Group,908%,Retail,Massachusetts,Boston,89,American Capital Financial Services,,906%,IT Services,California,Elk Grove,90,Eforcity,905%,California,El Monte,91,Induslogic,900%,,Virginia,Vienna,92,TechDemocracy,899%,,New Jersey,Edison,
93,GMI (Global Market Insite),https://inc.com/jeremy-quittner/run-drama-free-family-business.html,895%,Advertising & Marketing,Washington,Bellevue,94,Convergenz,895%,Human Resources,Virginia,Vienna,95,Vology,895%,IT Services,Florida,Clearwater,96,EMA Design Automation,895%,Human Resources,Texas,Dallas,97,SchoolNet,892%,Software,New York,Rochester,98,Hudson & Keyse,891%,Education,New York,New York City,99,Pinnacle Group,,886%,Financial Services,Ohio,Painesville,100,The Planet,884%,Texas,Houston,101,CashEdge,882%,IT Services,New York,New York City,102,Information Innovators,878%,Software,Virginia,Springfield,Government Services
