Rank,Company Name,3 Year Growth,Industry,State,City
1,Furst Group,42389%,,New Jersey,Shamong
2,Telegroup,25753%,,Iowa,Fairfield
3,DPR Construction,25302%,Construction,California,Redwood City
4,Axion,25023%,,California,South San Francisco
5,International Textiles/Rug Barn,24291%,,South Carolina,Abbeville
6,ASC Network Corporation,15443%,,California,Pasadena
7,Matrix Telecom,14543%,,Texas,Fort Worth
8,United Vision Group,13238%,,New York,Ossining
9,KPR Sports International,11879%,,Pennsylvania,King of Prussia
10,American Ophthalmic,9625%,,Florida,Winter Park
11,Simplified Employment Services,9410%,,Michigan,Sterling Heights
12,TriNet,8363%,,California,Dublin
13,Simple Technology,7794%,Human Resources,California,Santa Ana
14,Information Technology Solutions,7784%,,Virginia,Hampton
15,Oasis Imaging Products.,7482%,,New Hampshire,Nashua
17,Benchmarq Microelectronics,6517%,,Texas,Carrollton
18,BORN Information Services,6425%,,Minnesota,Wayzata
19,Diamond Key Homes,6228%,,Arizona,Phoenix
20,Guiltless Gourmet,6204%,,Texas,Austin
21,Logic Works,6058%,,New Jersey,Princeton
22,Holland Group,5905%,,Tennessee,Murfreesboro
23,Biosite Diagnostics,5771%,,California,San Diego
24,Healthcare Recoveries,5396%,,Kentucky,Louisville
25,PageMart,5201%,,Texas,Dallas
26,Hub Group Distribution Services,4927%,,Illinois,Arlington Heights
27,Tivoli Systems,4859%,,Texas,Austin
28,SECOR International,4684%,,Washington,Bellevue
29,Storybook Heirlooms,4436%,,California,Foster City
30,Select Comfort Corp.,4302%,,Minnesota,Minneapolis
31,Health Tech Industries,4112%,,Illinois,South Holland
32,NIE International,3952%,,Arizona,Phoenix
33,Megabyte International,3721%,,Georgia,Norcross
34,Mac USA,3714%,,Minnesota,Edina
35,Sprint Staffing,3663%,,Florida,Tampa
36,ShowCase Corporation,3195%,,Minnesota,Rochester
37,Counter Technology,3157%,,Maryland,Bethesda
38,Advanced Technical Resources,3088%,,California,Sunnyvale
39,Calsouth Corporation,3025%,,Texas,Houston
40,Optical Laser,3007%,,California,Huntington Beach
41,GB Tech,2930%,,Texas,Houston
42,PRT Corporation of America,2910%,,New York,New York City
43,Sendai Media Group,2906%,,Illinois,Lombard
44,Hall Kinion & Assoc.,2897%,Engineering,California,San Jose
45,Levenger Company,2845%,,Florida,Delray Beach
46,Vektron International,2842%,,Texas,Grand Prairie
47,Engineered Endeavors,2809%,,Ohio,Newbury
48,Working Assets Funding Service,2775%,,California,San Francisco
49,SunDisk Corp.,2774%,,California,Santa Clara
50,Insync Systems,2773%,,California,Milpitas
51,Interlink Group,2728%,,Colorado,Denver
52,Bottomline Technologies,2728%,,New Hampshire,Portsmouth
53,SOTAS,2687%,,Maryland,Rockville
54,EB Services,2647%,Corporate Services,North Carolina,Charlotte
55,Wexford Builders,2613%,,Michigan,Ann Arbor
56,Portable Products,2603%,,Minnesota,St Paul
57,Universal Tax Systems,2593%,,Georgia,Rome
58,Visionary Design Systems,2586%,,California,Sunnyvale
59,Desktop Data,2574%,,Massachusetts,Waltham
60,Cosmopolitan,2574%,,Maryland,Columbia
61,Core Resources, Inc.,2545%,,Ohio,Cincinnati
62,Davis Companies,2508%,,Massachusetts,Marlborough
63,MicroHelp,2442%,,Georgia,Marietta
64,TSI Soccer Corp.,2440%,,North Carolina,Durham
65,Cal Fresh Produce,2429%,,California,Sacramento
66,Advanced Pollution Instrumentation,2414%,,California,San Diego
67,Turner Investment Partners,2354%,,Pennsylvania,Berwyn
68,Color Image,2337%,,Georgia,Norcross
69,Edelman Financial Center, The,2310%,,Virginia,Fairfax
70,Ma Laboratories,2303%,,California,San Jose
71,Clam Associates,2526%,,Massachusetts,Cambridge
72,Excel Communications,2281%,,Texas,Dallas
73,Remtech Services,2248%,,Virginia,Newport News
74,Atlantic Cellular,2235%,Computer Hardware,Rhode Island,Providence
75,Lantronix,2234%,,California,Irvine
76,FEI America,2216%,,Oregon,Lake Oswego
77,KPR Holdings,2121%,,Texas,Fort Worth
78,Intcomex,2114%,,Florida,Miami
79,CardMember Publishing,2067%,,Connecticut,Stamford
80,AEM, Inc,2060%,,California,San Diego
81,Pinnacle Group (Alabama),2024%,,Alabama,Athens
82,America II Corp.,1999%,,Florida,Clearwater
83,Pete's Brewing Company,1994%,,California,Palo Alto
84,IntelliSell,1978%,,Nebraska,Omaha
85,Paige's Security Services,1974%,,California,Marina
86,Neutral Posture Ergonomics, Inc.,1946%,,Texas,Bryan
87,Taitron Components,1899%,,California,Santa Clarita
88,Digital Systems Research,1890%,,Virginia,Arlington
89,Racing Champions,1877%,,Illinois,Glen Ellyn
90,Precision Tube Technology,1874%,,Texas,Houston
91,i2 Technologies,1865%,,Texas,Dallas
92,ADNET Telemanagement,1856%,,California,Santa Ana
93,Aquatic Industries,1856%,,Texas,Leander
